author;created_at;favorite_count;view_count;full_text
Corriere;Fri Aug 02 05:49:34 +0000 2024;2;4615;Assunzioni di nuovi agenti di polizia locale: cercasi cronometrista esperto per le prove degli aspiranti «ghisa» https://t.co/lRqxzXQLsa
Corriere;Fri Aug 02 05:43:45 +0000 2024;8;4814;Il trauma di Tokyo, la rinascita e l'in bocca al lupo di Datome e Melli: cosa c'è dietro l'oro di De Gennaro https://t.co/5JHD7G9Uqq
Corriere;Fri Aug 02 05:38:04 +0000 2024;7;5328;Vezzali, Di Francisca e le tigri di Jesi: perché nel fioretto c'è il loro marchio dietro all'argento del riscatto https://t.co/IW8mcHbzj7
Corriere;Fri Aug 02 05:23:54 +0000 2024;7;5502;La donna di Babele https://t.co/SfeXrNvEEA
Corriere;Thu Aug 01 22:33:32 +0000 2024;4;6667;Lo scambio Usa-Russia. Pugni e polemiche a Parigi. La morte di Sharon Verzeni https://t.co/XHi0zVqetZ
Corriere;Thu Aug 01 22:15:48 +0000 2024;12;6022;Il «Ponte delle spie»: 60 anni di negoziati e scambi di prigionieri https://t.co/R06GvS541B
Corriere;Thu Aug 01 21:00:54 +0000 2024;12;7608;Meloni dopo una giornata di gare: «Successi meritati dai nostri atleti» https://t.co/FajaC989dF
Corriere;Thu Aug 01 20:44:45 +0000 2024;29;10048;Terremoto in Calabria, alle 21.43 forte scossa di magnitudo 5.0 registrata in provincia di Cosenza https://t.co/UuBLcC4N92
Corriere;Thu Aug 01 20:17:58 +0000 2024;10;7148;Putin accoglie con un mazzo di fiori i prigionieri scambiati con gli Stati Uniti https://t.co/U9yIwRiQ83
Corriere;Thu Aug 01 20:12:29 +0000 2024;8;7125;Martinenghi festeggia il compleanno, Meloni regala il Tricolore https://t.co/Orp1AtRnp5
Corriere;Thu Aug 01 20:07:02 +0000 2024;6;6953;Monte Bianco: il video della frana che ha sfiorato una cordata di alpinisti https://t.co/iWG50QYJdq
fattoquotidiano;Fri Aug 02 11:05:55 +0000 2024;11;1087;Olimpiadi, medaglia d'argento nel canottaggio due di coppia pesi leggeri maschile per Soares-Oppo - Il Fatto Quotidiano https://t.co/enG4G1PuNr https://t.co/h9RVQ8O0Q5
fattoquotidiano;Fri Aug 02 11:00:13 +0000 2024;23;1509;La nuova giunta leghista di Verbania blocca l'intitolazione della scuola secondaria al fondatore di Emergency Gino Strada - Il Fatto Quotidiano https://t.co/FaOHz1uu09 https://t.co/KtxF6G9qxf
fattoquotidiano;Fri Aug 02 10:18:55 +0000 2024;3;2409;Stacca il dito a morsi al passeggero di un treno. Arrestato un lottatore di Mma di 29 anni a Milano - Il Fatto Quotidiano https://t.co/zJcrfd3oLT https://t.co/hLycFSPm4D
fattoquotidiano;Fri Aug 02 10:04:16 +0000 2024;8;1876;Torino, rivolte violente al Minorile, un agente aggredito al Lorusso e Cutugno https://t.co/om5QzzwQ0Y https://t.co/DXOJSxMuGB
fattoquotidiano;Fri Aug 02 09:40:16 +0000 2024;29;5363;"La versione di Angela Carini: ""Il mio ritiro? Nulla di programmato, ma una scelta d'istinto. Mi scuso per non aver salutato Khelif"" - Il Fatto Quotidiano https://t.co/GqwYhmKpUh https://t.co/p2FTVTxXmi"
fattoquotidiano;Fri Aug 02 09:21:34 +0000 2024;7;2016;"Scambio di prigionieri, il colpo di Biden nella campagna elettorale e le accuse di Trump: ""Avete pagato? Io mai. Brutto precedente"" - Il Fatto Quotidiano https://t.co/Xcpzpob9Kl https://t.co/tBG39nKign"
fattoquotidiano;Fri Aug 02 08:50:05 +0000 2024;45;3949;"Caso Khelif-Carini, Meloni incontra il presidente del Cio. Che difende la pugile algerina: ""È una donna, faremo chiarezza"" - Il Fatto Quotidiano https://t.co/mQ9Oz8OKrt https://t.co/JwYRVBM1Rr"
fattoquotidiano;Fri Aug 02 08:39:58 +0000 2024;6;2161;Gaza, raid notturno di Israele su condominio: quattro morti https://t.co/LlAPCrn2KL https://t.co/sIZtBSD5r4
fattoquotidiano;Fri Aug 02 08:33:19 +0000 2024;0;;"RT @ilfattoblog: ""E’ tempo che qualcosa cambi, a lisciare il pelo alla speculazione immobiliare si vive tutti più male"" @romainquilini  htt…"
fattoquotidiano;Fri Aug 02 08:18:17 +0000 2024;0;1;"RT @ilfattoblog: ""Oggetto del contendere è l'autodeterminazione di genere: imprescindibile per noi progressisti, un incubo per i conservato…"
fattoquotidiano;Fri Aug 02 08:17:48 +0000 2024;63;2894;"Strage di Bologna, Mattarella: ""Spietata strategia eversiva neofascista attentò alla libertà degli italiani"". La Russa: ""Desecretare gli atti"" - Il Fatto Quotidiano https://t.co/C8SXXep5lC https://t.co/DWx86DYqPh"
fattoquotidiano;Fri Aug 02 08:00:20 +0000 2024;8;2081;"Caregiver per le persone con disabilità, Lombardia reintegra una parte dei fondi. Le associazioni: ""Ma i tagli rimangono"" - Il Fatto Quotidiano https://t.co/3BcAgBiUZA https://t.co/Mol12f2XL1"
fattoquotidiano;Fri Aug 02 07:23:09 +0000 2024;20;2730;"L'anniversario diverso della strage di Bologna: ""Sappiamo la verità e abbiamo le prove”. Dopo 44 anni uno ""squarcio di luce"" sulla bomba alla stazione - Il Fatto Quotidiano https://t.co/qTKyFs0zSn https://t.co/HOZEUT8ImO"
fattoquotidiano;Fri Aug 02 07:01:42 +0000 2024;3;2556;📆 𝟔, 𝟕 𝐞 𝟖 𝐬𝐞𝐭𝐭𝐞𝐦𝐛𝐫𝐞. 🎂 Anche quest'anno torniamo alla Casa del Jazz di Roma per celebrare la nostra annuale Festa.  Tre giorni di incontri, spettacoli e musica assieme ai giornalisti del Fatto Quotidiano e tanti altri ospiti!   #SaveTheDate. #FestaFatto https://t.co/Rkdqz2RgR9
fattoquotidiano;Fri Aug 02 06:58:29 +0000 2024;24;3371;"Famiglie in crisi, anche una cena al fast food diventa ""lusso"" https://t.co/vIQQ81HQuY https://t.co/xlCQWHFohu"
