;author;created_at;favorite_count;view_count;retweet_count;reply_count;full_text;keyword
13;guardian;Tue Aug 27 11:06:40 +0000 2024;161;39018.0;63;22;So Starbucks’ CEO commutes to work by private jet? Let’s not pretend the super-rich care about the planet | Arwa Mahdawi https://t.co/hqVelF1sLJ;Mahdawi,Starbucks,CEO,Arwa,jet,commute,work,private,pretend,superrich
14;guardian;Tue Aug 27 10:55:39 +0000 2024;66;33351.0;28;17;Here it is, the new right playbook: wreck and impoverish the country, enjoy the high life yourself | Owen Jones https://t.co/xKcccE605K;Jones,Owen,country,enjoy,playbook,wreck,impoverish,high,life
15;guardian;Tue Aug 27 10:31:50 +0000 2024;15;33445.0;1;5;It’s 2024 and I might be the last person on earth to watch The Walking Dead. What a loser! | Zoe Williams https://t.co/bPfTBGJ1Tk;Dead,Zoe,Williams,Walking,loser,person,earth,watch
16;guardian;Tue Aug 27 10:11:57 +0000 2024;25;36925.0;13;16;Ex-Paralympian Tanni Grey-Thompson forced to ‘crawl off’ train https://t.co/USm1bM7yyO;Tanni,ExParalympian,train,GreyThompson,forced,crawl
17;guardian;Tue Aug 27 09:57:23 +0000 2024;13;30595.0;3;5;Australia's 'right to disconnect' laws are here. But how do they work? - video https://t.co/qK7xcTXvPN;Australia,law,video,disconnect,work
18;guardian;Tue Aug 27 09:16:34 +0000 2024;17;32354.0;3;4;Plibersek denies sacred site decision blocks NSW goldmine, calls on Coalition to support Indigenous heritage https://t.co/27fLzhpMc4;NSW,Coalition,Indigenous,Plibersek,goldmine,call,heritage,denies,sacred,site
19;guardian;Tue Aug 27 09:00:30 +0000 2024;25;33370.0;0;21;Keir Starmer to deliver speech on ‘rooting out years of rot’ left by Conservatives – UK politics live https://t.co/eX1WlxJoBC;Starmer,Conservatives,Keir,live,deliver,speech,rooting,year,rot,left
20;guardian;Tue Aug 27 08:46:19 +0000 2024;32;36122.0;19;21;NHS referrals for anxiety in children more than double pre-Covid levels https://t.co/absMtth0ex;NHS,level,referral,anxiety,child,double,preCovid
21;guardian;Tue Aug 27 08:38:23 +0000 2024;51;56374.0;8;109;Share your reaction to the Oasis reunion https://t.co/UVUhkXmO7y;Oasis,Share,reunion,reaction
22;guardian;Tue Aug 27 08:25:21 +0000 2024;12;31639.0;1;6;I don’t form sensory memories – I’ve learned my inner life is vastly different from everyone I know | Sadie Dingfelder https://t.co/05TbFhSbpH;Dingfelder,Ive,Sadie,dont,form,sensory,memory,learned,life,vastly
23;guardian;Tue Aug 27 08:07:47 +0000 2024;9;32022.0;0;5;Can upstate New York become the next Silicon Valley? This ex-Nvidia founder thinks so https://t.co/XRDEs28UFQ;Valley,York,Silicon,upstate,exNvidia,founder
24;guardian;Tue Aug 27 07:52:08 +0000 2024;32;36840.0;8;37;‘I feel like I love everyone here’: Notting Hill carnival continues to defy division – photo essay https://t.co/Yfaj4QTze6;Notting,Hill,essay,feel,love,carnival,continues,defy,division,photo
25;guardian;Tue Aug 27 07:36:08 +0000 2024;33;51893.0;6;10;‘It’s amazing’: talk of Oasis reunion sparks excitement in Manchester https://t.co/c9y9tVQdF0;Manchester,Oasis,amazing,talk,reunion,spark,excitement
26;guardian;Tue Aug 27 07:23:11 +0000 2024;28;35530.0;9;3;Workers prioritising employers that offer sabbaticals in work-life balance shift https://t.co/dxgUoibWOR;Workers,shift,prioritising,employer,offer,sabbatical,worklife,balance
27;guardian;Tue Aug 27 07:02:38 +0000 2024;685;89465.0;143;48;Oasis reunion confirmed for UK and Ireland tour in 2025 https://t.co/9LDv7Vsxed;Ireland,Oasis,tour,reunion,confirmed
28;guardian;Tue Aug 27 06:59:43 +0000 2024;25;33218.0;14;0;Chinese military plane carries out first violation of Japanese airspace https://t.co/zCQOIT3vI7;Japanese,Chinese,airspace,military,plane,carry,violation
29;guardian;Tue Aug 27 06:47:07 +0000 2024;20;39957.0;3;5;Crocodile culling an ineffective and expensive way to reduce attacks, Northern Territory study finds https://t.co/Ydotogzvre;Northern,Territory,Crocodile,attack,find,culling,ineffective,expensive,reduce,study
30;guardian;Tue Aug 27 06:34:15 +0000 2024;59;42776.0;13;0;From kimchi to kombucha, it’s easy to ferment at home. Here’s all the kit you need https://t.co/DQk958vQOV;kombucha,easy,home,kimchi,ferment,kit
31;guardian;Tue Aug 27 06:20:10 +0000 2024;76;42371.0;39;30;UN chief: there is no way to keep 1.5C alive without a fossil fuels phase-out – video https://t.co/qCEpZc0Q2B;alive,video,chief,fossil,fuel,phaseout
32;guardian;Tue Aug 27 06:06:45 +0000 2024;27;40990.0;8;85;Russia launches fresh wave of deadly strikes on Ukraine https://t.co/5BKBuHe1Cw;Ukraine,Russia,launch,fresh,wave,deadly,strike
33;guardian;Tue Aug 27 05:55:40 +0000 2024;13;37439.0;4;4;SNP will lose Scottish election without complete rethink, say senior party figures https://t.co/Q08tun7ND2;SNP,Scottish,rethink,figure,lose,election,complete,senior,party
34;guardian;Tue Aug 27 05:43:16 +0000 2024;36;42135.0;7;15;‘I remember crying walking into school’: having anxiety as a child https://t.co/3T2U4ugZH3;child,remember,cry,walking,school,anxiety
35;guardian;Tue Aug 27 05:29:07 +0000 2024;74;47994.0;34;37;‘Jaw-dropping’ number of children in England with anxiety shocks even professionals https://t.co/IbEqvy08q8;England,Jawdropping,professional,number,child,anxiety,shock
36;guardian;Tue Aug 27 05:16:34 +0000 2024;185;58718.0;46;4;Only Murders in the Building season four review – by far the funniest thing on TV https://t.co/VXXyAX1V0l;Murders,Building,season,review,funniest,thing
