what,who,where,when
"sporten, Dont, headquarters, miss",,,2020-07-25 12:25:24
"miss, Dont, headquarters, sporten",,,2020-07-25 12:25:24
"Dont, headquarters, sporten",,,2022-11-20 23:50:22
"fever, Lol, yellow, card, Nah, UPDATED, Wright, Id, Would, Ian, take",,,2020-07-25 12:25:02
"fever, UPDATED, yellow",,,2020-12-12 15:59:32
"Lol, fever, yellow, card, Nah, UPDATED, Would, Wright, Id, Ian, take",,,2020-07-25 12:25:02
"Lol, Ian, Nah",,,2022-11-20 23:36:12
"Lol, Ian, Nah",,,2022-11-20 23:36:12
"Ian, Nah, card",,,2022-11-20 23:36:12
"UPDATED, Ian, yellow",,,2020-12-12 15:59:32
"Would, take, Wright",,,2020-07-25 12:25:02
"Wright, Ian, Id",,,2022-11-20 23:36:12
"Ian, take, Wright",,,2020-07-25 12:25:02
"Ian, Wright",,,2022-11-20 23:36:12
"profoundly, suspect, Blatter",,,2022-11-20 23:27:13
"profoundly, suspect, Blatter",,,2022-11-20 23:27:13
"profoundly, suspect, Blatter",,,2022-11-20 23:27:13
"PUTO, scream",,,2022-11-20 23:57:32
"PUTO, scream",,,2022-11-20 23:57:32
"people, Iranian",,,2023-06-09 16:09:28
"Iran, Iranian, kill",,,2023-06-09 16:09:28
"Iran, March, massacre, Youths, Democratic, June, maryam, Locals, Free, rajvi, Republic, free, GlanceWednesday, protests, 7, Iranian, secular, chant, Tehran, kill, Information, Attack, Defiant, Execution, Azerbaijan, Urmia, 9, iran, people, Zahedan, Friday, iran2023",,,2020-07-25 12:24:49
"Iran, March, massacre, Youths, Democratic, June, maryam, Locals, Free, rajvi, Republic, free, GlanceWednesday, protests, 7, Iranian, secular, chant, Tehran, kill, Information, Attack, Defiant, Execution, Azerbaijan, Urmia, 9, iran, people, Zahedan, Friday, iran2023",,,2020-07-25 12:24:49
"Iran, March, massacre, Youths, Democratic, June, maryam, Locals, Free, rajvi, Republic, free, GlanceWednesday, protests, 7, Iranian, chant, secular, Tehran, kill, Information, Attack, Defiant, Execution, Azerbaijan, Urmia, 9, iran, people, Zahedan, Friday, iran2023",,,2020-07-25 12:24:49
"Democratic, Republic, secular",,,2023-06-10 08:57:07
"Iran, March, massacre, Youths, Democratic, June, maryam, Locals, Free, rajvi, Republic, free, GlanceWednesday, protests, 7, Iranian, secular, chant, Tehran, kill, Information, Attack, Defiant, Execution, Azerbaijan, Urmia, 9, iran, people, Zahedan, Friday, iran2023",,,2020-07-25 12:24:49
"Iran, March, massacre, Youths, Democratic, June, maryam, Locals, Free, rajvi, Republic, free, GlanceWednesday, protests, 7, Iranian, secular, chant, Tehran, kill, Information, Attack, Defiant, Execution, Azerbaijan, Urmia, 9, iran, people, Zahedan, Friday, iran2023",,,2020-07-25 12:24:49
"Iran, March, massacre, Youths, Democratic, June, maryam, Locals, Free, rajvi, Republic, free, GlanceWednesday, protests, 7, Iranian, secular, chant, Tehran, kill, Information, Attack, Defiant, Execution, Azerbaijan, Urmia, 9, iran, people, Zahedan, Friday, iran2023",,,2020-07-25 12:24:49
"Iran, iran2023, Free",,,2023-06-09 16:09:28
"Information, free",,,2023-06-10 00:18:08
"free, Free",,,2023-06-10 00:18:08
"June, Friday",,,2023-06-09 12:57:57
"Iran, March, massacre, Youths, Democratic, June, maryam, Locals, Free, rajvi, Republic, free, GlanceWednesday, protests, 7, Iranian, secular, chant, Tehran, kill, Information, Defiant, Attack, Execution, Azerbaijan, Urmia, 9, iran, people, Zahedan, Friday, iran2023",,,2020-07-25 12:24:49
"Attack, Defiant, Youths",,,2023-06-10 03:52:06
"Urmia, Attack, Defiant",,,2023-06-10 03:52:06
"Iran, Attack, Urmia",,,2023-06-09 16:09:28
"Tehran, Locals",,,2023-06-10 06:15:00
"Iran, March, massacre, Youths, Democratic, June, maryam, Locals, Free, rajvi, Republic, free, GlanceWednesday, protests, 7, Iranian, secular, chant, Tehran, kill, Information, Attack, Defiant, Execution, Azerbaijan, Urmia, 9, iran, people, Zahedan, Friday, iran2023",,,2020-07-25 12:24:49
"June, Tehran, Locals",,,2023-06-09 12:57:57
"June, 9",,,2020-07-25 12:24:49
"7, June, GlanceWednesday",,,2020-07-25 12:25:28
"June, 9, Friday",,,2020-07-25 12:24:49
"June, GlanceWednesday",,,2023-06-09 12:57:57
"Iran, Free",,,2023-06-09 16:09:28
"Democratic, Republic, secular",,,2023-06-10 08:57:07
"Iran, March, massacre, Youths, Democratic, June, maryam, Locals, Free, rajvi, Republic, free, GlanceWednesday, protests, 7, chant, Iranian, secular, Tehran, kill, Information, Attack, Defiant, Execution, Azerbaijan, Urmia, 9, iran, people, Zahedan, Friday, iran2023",,,2020-07-25 12:24:49
"people, Zahedan, Iranian",,,2023-06-09 16:09:28
"protests, June",,,2023-06-09 04:54:52
"Iran, March",,,2023-06-09 16:09:28
"June, Zahedan",,,2023-06-09 12:57:57
"Iran, Free",,,2023-06-09 16:09:28
"Watch, judge, dove, morningsonthe, arrived, Oregon",,,2020-12-14 23:13:35
"Watch, Oregon, morningsonthe",,,2020-12-14 23:13:35
"Watch, judge, dove, morningsonthe, arrived, Oregon",,,2020-12-14 23:13:35
"Watch, Oregon",,,2020-12-14 23:13:35
"Watch, judge, dove, morningsonthe, arrived, Oregon",,,2020-12-14 23:13:35
"Watch, Oregon",,,2020-12-14 23:13:35
"Council, Supreme, guys, Genuine, Differentiating, Ali, Litmus, Test, Demonstrators, leads, Coalition, Resistance, revolution, Leader, Pretense, Paris, Brave, National, Locals, southeast, sign, regime, Khamenei",,,2020-07-25 12:25:34
"Council, Supreme, guys, Genuine, Differentiating, Ali, Litmus, Test, Demonstrators, leads, Coalition, Resistance, revolution, Leader, Pretense, Paris, Brave, National, Locals, southeast, sign, regime, Khamenei",,,2020-07-25 12:25:34
"Council, Supreme, guys, Genuine, Differentiating, Ali, Litmus, Test, Demonstrators, leads, Coalition, Resistance, revolution, Leader, Pretense, Paris, Brave, National, Locals, southeast, sign, regime, Khamenei",,,2020-07-25 12:25:34
"Council, Supreme, guys, Genuine, Differentiating, Ali, Litmus, Test, Demonstrators, leads, Coalition, Resistance, revolution, Leader, Pretense, Paris, Brave, National, Locals, southeast, sign, regime, Khamenei",,,2020-07-25 12:25:34
"Council, Supreme, guys, Genuine, Differentiating, Ali, Litmus, Test, Demonstrators, leads, Coalition, Resistance, revolution, Leader, Pretense, Paris, Brave, National, Locals, southeast, sign, regime, Khamenei",,,2020-07-25 12:25:34
"Council, Supreme, guys, Genuine, Differentiating, Ali, Litmus, Test, Demonstrators, leads, Coalition, Resistance, revolution, Leader, Pretense, Paris, Brave, National, Locals, southeast, sign, regime, Khamenei",,,2020-07-25 12:25:34
"Council, Supreme, guys, Genuine, Differentiating, Ali, Litmus, Demonstrators, Test, leads, Coalition, Resistance, revolution, Leader, Pretense, Paris, Brave, National, Locals, southeast, sign, regime, Khamenei",,,2020-07-25 12:25:34
"Council, Supreme, guys, Genuine, Differentiating, Ali, Litmus, Demonstrators, Test, leads, Coalition, Resistance, revolution, Leader, Pretense, Paris, Brave, National, Locals, southeast, sign, regime, Khamenei",,,2020-07-25 12:25:34
"Council, Supreme, guys, Genuine, Differentiating, Ali, Litmus, Test, Demonstrators, leads, Coalition, Resistance, revolution, Leader, Pretense, Paris, Brave, National, Locals, southeast, sign, regime, Khamenei",,,2020-07-25 12:25:34
"Council, Supreme, guys, Genuine, Differentiating, Ali, Litmus, Test, Demonstrators, leads, Coalition, Resistance, revolution, Leader, Pretense, Paris, Brave, National, Locals, southeast, sign, regime, Khamenei",,,2020-07-25 12:25:34
"Council, Supreme, guys, Genuine, Differentiating, Ali, Litmus, Test, Demonstrators, leads, Coalition, Resistance, revolution, Leader, Pretense, Paris, Brave, National, Locals, southeast, sign, regime, Khamenei",,,2020-07-25 12:25:34
"Council, Supreme, guys, Genuine, Differentiating, Ali, Litmus, Test, Demonstrators, leads, Coalition, Resistance, revolution, Leader, Pretense, Paris, Brave, National, Locals, southeast, sign, regime, Khamenei",,,2020-07-25 12:25:34
"Council, Supreme, guys, Genuine, Differentiating, Ali, Litmus, Test, Demonstrators, leads, Coalition, Resistance, revolution, Leader, Pretense, Paris, Brave, National, Locals, southeast, sign, regime, Khamenei",,,2020-07-25 12:25:34
"Council, Supreme, guys, Genuine, Differentiating, Ali, Litmus, Test, Demonstrators, leads, Coalition, Resistance, revolution, Leader, Pretense, Paris, Brave, National, Locals, southeast, sign, regime, Khamenei",,,2020-07-25 12:25:34
"Council, Supreme, guys, Genuine, Differentiating, Ali, Litmus, Test, Demonstrators, leads, Coalition, Resistance, revolution, Leader, Pretense, Paris, Brave, National, Locals, southeast, sign, regime, Khamenei",,,2020-07-25 12:25:34
"Council, Supreme, guys, Genuine, Differentiating, Ali, Litmus, Test, Demonstrators, leads, Coalition, Resistance, revolution, Leader, Pretense, Paris, Brave, National, Locals, southeast, sign, regime, Khamenei",,,2020-07-25 12:25:34
"Council, Supreme, guys, Genuine, Differentiating, Ali, Litmus, Test, Demonstrators, leads, Coalition, Resistance, revolution, Leader, Pretense, Paris, Brave, National, Locals, southeast, sign, regime, Khamenei",,,2020-07-25 12:25:34
"Council, Supreme, guys, Genuine, Differentiating, Ali, Litmus, Test, Demonstrators, leads, Coalition, Resistance, revolution, Leader, Pretense, Paris, Brave, National, Locals, southeast, sign, regime, Khamenei",,,2020-07-25 12:25:34
"Council, Supreme, guys, Genuine, Differentiating, Ali, Litmus, Test, Demonstrators, leads, Coalition, Resistance, revolution, Leader, Pretense, Paris, Brave, National, Locals, southeast, sign, regime, Khamenei",,,2020-07-25 12:25:34
"Council, Supreme, guys, Genuine, Differentiating, Ali, Litmus, Test, Demonstrators, leads, Coalition, Resistance, revolution, Leader, Pretense, Paris, Brave, National, Locals, southeast, sign, regime, Khamenei",,,2020-07-25 12:25:34
"Council, Supreme, guys, Genuine, Differentiating, Ali, Litmus, Test, Demonstrators, leads, Coalition, Resistance, revolution, Leader, Pretense, Paris, Brave, National, Locals, southeast, sign, regime, Khamenei",,,2020-07-25 12:25:34
"Council, Supreme, guys, Genuine, Differentiating, Ali, Litmus, Test, Demonstrators, leads, Coalition, Resistance, revolution, Leader, Pretense, Paris, Brave, National, Locals, southeast, sign, regime, Khamenei",,,2020-07-25 12:25:34
"Farhad, Navai, 16yearold",,,2023-06-10 00:19:44
"Farhad, 16yearold",,,2023-06-10 00:19:44
"Farhad, Navai, 16yearold",,,2023-06-10 00:19:44
"district, Shahrake",,,2023-06-10 06:15:00
"Shahrake, Bagheri",,,2023-06-10 06:15:00
"capitals, Shahrake",,,2023-06-10 06:15:00
"capitals, Shahrake, Bagheri",,,2023-06-10 06:15:00
"Judiciary, response",,,2023-06-10 03:52:06
"Judiciary, response",,,2023-06-10 03:52:06
"presence, Raisi, Ebrahim, perpetrator",,,2023-06-10 03:52:06
"perpetrator, Raisi, Ebrahim, presence",,,2023-06-10 03:52:06
"Raisi, presence, Ebrahim, perpetrator",,,2023-06-10 03:52:06
"perpetrator, Raisi, Ebrahim, presence",,,2023-06-10 03:52:06
"Commentary, Endurance",,,2023-06-09 13:20:29
"Commentary, NCRI, Endurance",,,2023-06-09 13:20:29
"NCRI, Commentary",,,2023-06-09 13:20:29
"shame, Iranians",,,2023-06-10 05:20:15
"shame, Iranians",,,2023-06-10 05:20:15
"LEFT, Effects, Side, palsy, Like, bells",,,2020-12-20 08:15:20
"bells, Effects, Like",,,2020-12-20 08:15:20
"Like, Side, Effects",,,2020-12-20 08:15:20
"Effects, Side",,,2020-12-20 08:15:20
"LEFT, Like, Side",,,2020-12-20 08:15:20
"LEFT, Effects, Side, palsy, Like, bells",,,2020-12-20 08:15:20
Flocking,,,2020-12-20 08:15:20
